"intervention","asset","include","asset_class","asset_unit","unit_type","asset_parameters","user_entered_parameters","tool_extracted_parameters","tool_calculated_parameters"
"Track","Track (double)","TRUE",,"m","length","length, width",,"length",
"Track","OLE","TRUE",,"m","length","length, number",,"length","number"
"Track","Point and crossings","FALSE",,,,,,,
"OLE system","OLE","TRUE",,"m","length","length, number",,"length","number"
"Point and crossings","Point and crossings","FALSE",,"number","number","number","number",,
"Bridge","Bridge","TRUE",,"number","number","number, span","number","span",
"Bridge","Track (double)","TRUE",,"m","length","length, width",,"length",
"Bridge","OLE","TRUE",,"m","length","length, number",,"length","number"
"Overbridge","Overbridge","TRUE","CV-BR-OB","number","number","number, span","number",,
"Overbridge","Track (double)","TRUE",,"m","length","length, width",,"length",
"Overbridge","OLE","TRUE",,"m","length","length, number",,"length","number"
"Underbridge","Underbridge","TRUE","CV-BR-UB","number","number","number, span","number",,
"Underbridge","Track (double)","TRUE",,"m","length","length, width",,"length",
"Underbridge","OLE","TRUE",,"m","length","length, number",,"length","number"
"Green bridge","Green Bridge","TRUE","CV-BR-GB","number","number","number, span","number",,
"Underpass","Underpass","TRUE","CV-BR-UP","number","number","number, span","number",,
"Viaduct","Viaduct","TRUE","CV-BR-VD","m","length","length, width",,"length",
"Bored_Tunnel","Bored Tunnel","TRUE","CV-US-TN-BR","m","length","length, diameter, number","number","length",
"Bored_Tunnel","Mitigation Earthworks","TRUE","CV-CE-ME","m","length","length, volume",,"length","volume"
"Bored_Tunnel","Tunnel Portal","TRUE","CV-US-TN-PR","number","number","number",,,"number"
"Bored_Tunnel","Track (double)","TRUE",,"m","length","length, width",,"length",
"Bored_Tunnel","OLE","TRUE",,"m","length","length, number",,"length","number"
"Cut_cover_Tunnel","Cut & Cover Tunnel","TRUE","CV-US-TN-CC","m","length","length, diameter, number","number","length",
"Cut_cover_Tunnel","Mitigation Earthworks","TRUE","CV-CE-ME","m","length","length, volume",,"length","volume"
"Cut_cover_Tunnel","Tunnel Portal","TRUE","CV-US-TN-PR","number","number","number",,,"number"
"Cut_cover_Tunnel","Track (double)","TRUE",,"m","length","length, width",,"length",
"Cut_cover_Tunnel","OLE","TRUE",,"m","length","length, number",,"length","number"
"Mined_Tunnel","Mined Tunnel","TRUE","Mined Tunnel","m","length","length, diameter, number","number","length",
"Mined_Tunnel","Mitigation Earthworks","TRUE","CV-CE-ME","m","length","length, volume",,"length","volume"
"Mined_Tunnel","Tunnel Portal","TRUE","CV-US-TN-PR","number","number","number",,,"number"
"Mined_Tunnel","Track (double)","TRUE",,"m","length","length, width",,"length",
"Mined_Tunnel","OLE","TRUE",,"m","length","length, number",,"length","number"
"Rail maintenance depot","Building","TRUE","GR-BL","km2","area","area, number","number",,
"Rail maintenance depot","Car Park","TRUE","GR-CP","km2","area","area, number","number",,
"Rail maintenance depot","Carriageway","TRUE","CV-HW-CW","m","length","length",,"length",
"Rail maintenance depot","Circulation Feature","TRUE","CV-HW-CF","number","number","number",,,"number"
"Rail maintenance depot","Track (double)","TRUE",,"m","length","length, width, number",,"length","number"
"Rail maintenance depot","OLE","TRUE",,"m","length","length, number",,"length","number"
"Rail maintenance depot","Point and crossings","FALSE",,"number","number","number","number",,
"Rail freight terminal","Building","TRUE","GR-BL","km2","area","area, number","number",,
"Rail freight terminal","Car Park","TRUE","GR-CP","km2","area","area, number","number",,
"Rail freight terminal","Carriageway","TRUE","CV-HW-CW","m","length","length",,"length",
"Rail freight terminal","Circulation Feature","TRUE","CV-HW-CF","number","number","number",,"number",
"Rail freight terminal","Track (double)","TRUE",,"m","length","length, width, number",,"length","number"
"Rail freight terminal","OLE","TRUE",,"m","length","length, number",,"length","number"
"Rail freight terminal","Point and crossings","FALSE",,"number","number","number","number",,
